ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603248.SH,20251223,28.45,46.0,24.02,36.81,10.1,26.71,264.4554,556408.21,1529323.78
603248.SH,20251224,27.83,29.6,25.96,26.01,36.81,-10.8,-29.3399,399433.61,1103893.028
603248.SH,20251225,25.58,27.8,25.58,26.42,26.01,0.41,1.5763,317694.41,855000.966
603248.SH,20251226,25.52,27.8,24.91,26.08,26.42,-0.34,-1.2869,286331.88,756201.818
603248.SH,20251229,25.19,26.3,24.68,24.85,26.08,-1.23,-4.7163,232673.73,588076.113
603248.SH,20251230,24.47,24.58,22.66,22.67,24.85,-2.18,-8.7726,247406.55,576135.906
603248.SH,20251231,22.5,22.99,21.82,21.97,22.67,-0.7,-3.0878,137783.78,304595.44
603248.SH,20260105,21.98,22.29,21.57,22.29,21.97,0.32,1.4565,109216.89,240268.922
603248.SH,20260106,22.09,22.35,21.98,22.3,22.29,0.01,0.0449,100256.23,222379.48
603248.SH,20260107,22.27,22.5,22.16,22.39,22.3,0.09,0.4036,92819.09,207364.367
603248.SH,20260108,22.39,22.97,22.22,22.76,22.39,0.37,1.6525,108690.72,247004.577
603248.SH,20260109,22.99,22.99,22.62,22.95,22.76,0.19,0.8348,102583.31,234070.543
603248.SH,20260112,23.1,23.19,22.84,23.09,22.95,0.14,0.61,101356.28,233329.307
603248.SH,20260113,23.0,23.28,22.55,22.64,23.09,-0.45,-1.9489,95408.88,218701.11
603248.SH,20260114,22.53,22.92,22.44,22.7,22.64,0.06,0.265,79856.09,181533.543
603248.SH,20260115,22.6,23.09,22.52,22.8,22.7,0.1,0.4405,62044.38,141363.892
603248.SH,20260116,22.88,23.51,22.88,22.99,22.8,0.19,0.8333,79913.48,184367.996
603248.SH,20260119,22.8,23.31,22.8,23.29,22.99,0.3,1.3049,85640.07,198343.766
603248.SH,20260120,23.31,23.33,22.83,22.9,23.29,-0.39,-1.6745,71702.0,164975.277
603248.SH,20260121,22.85,23.72,22.72,23.69,22.9,0.79,3.4498,120335.22,280999.138
603248.SH,20260122,23.52,23.68,23.37,23.45,23.69,-0.24,-1.0131,61036.78,143309.665
603248.SH,20260123,23.59,24.36,23.53,23.73,23.45,0.28,1.194,82778.04,197141.841
603248.SH,20260126,23.81,25.29,23.5,25.0,23.73,1.27,5.3519,173254.94,425287.911
603248.SH,20260127,24.99,24.99,23.25,23.91,25.0,-1.09,-4.36,141225.34,337067.246
603248.SH,20260128,23.62,23.91,23.3,23.32,23.91,-0.59,-2.4676,78830.66,185360.751
603248.SH,20260129,23.3,23.3,22.65,22.76,23.32,-0.56,-2.4014,62621.81,143449.262
