ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
589720.SH,20260422,20260331,688131.SH,44577400.0,643160.0,3.59,0.3
589720.SH,20260330,20251231,688805.SH,8578.05,265.0,0.0,0.0
589720.SH,20260330,20251231,688315.SH,5434310.0,409210.0,0.78,0.1
589720.SH,20260330,20251231,688658.SH,15001300.0,663482.0,2.15,0.15
589720.SH,20251028,20250930,688331.SH,28420800.0,243162.0,6.7,0.15
589720.SH,20251028,20250930,688235.SH,43272600.0,140999.0,10.2,0.12
589720.SH,20260422,20260331,688506.SH,99516500.0,357973.0,8.02,0.09
589720.SH,20260422,20260331,688578.SH,112357000.0,1170380.0,9.06,0.26
589720.SH,20260330,20251231,688790.SH,8672.06,74.0,0.0,0.0
589720.SH,20260330,20251231,688428.SH,13527000.0,659209.0,1.94,0.25
589720.SH,20260330,20251231,688319.SH,17701100.0,697992.0,2.53,0.17
589720.SH,20260122,20251231,688795.SH,1146550.0,2756.0,0.16,0.01
589720.SH,20260122,20251231,688807.SH,17758.4,131.0,0.0,0.0
589720.SH,20251028,20250930,688166.SH,24079600.0,402669.0,5.67,0.1
589720.SH,20260422,20260331,603459.SH,58410.0,3300.0,0.0,0.0
589720.SH,20260330,20251231,688062.SH,22651400.0,588808.0,3.24,0.29
589720.SH,20260422,20260331,688180.SH,80971500.0,2324760.0,6.53,0.3
589720.SH,20260330,20251231,688136.SH,7827560.0,247160.0,1.12,0.12
589720.SH,20260122,20251231,688796.SH,17871.8,423.0,0.0,0.0
589720.SH,20260422,20260331,688802.SH,716634.0,1731.0,0.06,0.01
589720.SH,20260330,20251231,688758.SH,2020350.0,113951.0,0.29,0.27
589720.SH,20250729,20250725,688278.SH,8001750.0,105300.0,4.18,0.03
589720.SH,20260330,20251231,688621.SH,11972000.0,192630.0,1.71,0.17
589720.SH,20260330,20251231,688520.SH,14213000.0,328170.0,2.03,0.07
589720.SH,20260330,20251231,688192.SH,19577200.0,339882.0,2.8,0.07
589720.SH,20260122,20251231,688809.SH,40865.3,201.0,0.01,0.0
589720.SH,20260122,20251231,688278.SH,33565200.0,401114.0,4.8,0.1
589720.SH,20251028,20250930,688062.SH,16117700.0,328129.0,3.8,0.16
589720.SH,20251028,20250930,688180.SH,30455300.0,734570.0,7.18,0.1
589720.SH,20260422,20260331,688809.SH,55472.0,201.0,0.0,0.0
589720.SH,20260422,20260331,688278.SH,45848300.0,707535.0,3.7,0.17
589720.SH,20260330,20251231,688177.SH,7061150.0,305149.0,1.01,0.07
589720.SH,20250729,20250725,688520.SH,8796670.0,115200.0,4.59,0.03
589720.SH,20260422,20260331,688166.SH,62222400.0,1283730.0,5.02,0.3
589720.SH,20251028,20250930,688506.SH,41921400.0,111701.0,9.88,0.11
589720.SH,20251028,20250930,688382.SH,17138200.0,550889.0,4.04,0.13
589720.SH,20251028,20250930,688578.SH,33630500.0,305066.0,7.92,0.07
589720.SH,20250729,20250725,688266.SH,13942700.0,119700.0,7.28,0.05
589720.SH,20260422,20260331,688795.SH,1084710.0,2756.0,0.09,0.01
589720.SH,20260330,20251231,688336.SH,18047000.0,302955.0,2.58,0.05
589720.SH,20260122,20251231,688506.SH,65496600.0,202713.0,9.37,0.2
589720.SH,20260122,20251231,688382.SH,30952200.0,1136280.0,4.43,0.27
589720.SH,20260122,20251231,688578.SH,69062900.0,663110.0,9.88,0.15
589720.SH,20260330,20251231,688185.SH,8863300.0,141023.0,1.27,0.12
589720.SH,20260330,20251231,688222.SH,13845400.0,590424.0,1.98,0.15
589720.SH,20260122,20251231,688802.SH,691361.0,1731.0,0.1,0.01
589720.SH,20260330,20251231,688443.SH,9811520.0,360188.0,1.4,0.31
589720.SH,20260330,20251231,688513.SH,13352700.0,216940.0,1.91,0.12
589720.SH,20260122,20251231,688180.SH,45017400.0,1317840.0,6.44,0.17
589720.SH,20251028,20250930,688278.SH,18513500.0,220268.0,4.36,0.05
589720.SH,20260422,20260331,688336.SH,40372200.0,534165.0,3.26,0.09
589720.SH,20260330,20251231,688202.SH,11159300.0,197860.0,1.6,0.15
589720.SH,20260122,20251231,688131.SH,26289000.0,364720.0,3.76,0.17
589720.SH,20251028,20250930,688266.SH,28549000.0,252624.0,6.73,0.1
589720.SH,20250729,20250725,688506.SH,15716300.0,51600.0,8.21,0.05
589720.SH,20250729,20250725,688382.SH,11543100.0,261511.0,6.03,0.06
589720.SH,20250729,20250725,688578.SH,13984500.0,145430.0,7.3,0.03
589720.SH,20260122,20251231,688166.SH,35685400.0,727383.0,5.11,0.17
589720.SH,20250729,20250725,688331.SH,7641530.0,114600.0,3.99,0.07
589720.SH,20250729,20250725,688235.SH,15924200.0,67800.0,8.32,0.06
589720.SH,20260422,20260331,688266.SH,79200400.0,801624.0,6.39,0.3
589720.SH,20260330,20251231,603248.SH,4238.0,260.0,0.0,0.0
589720.SH,20260122,20251231,688331.SH,33917200.0,436010.0,4.85,0.27
589720.SH,20260122,20251231,688235.SH,70537800.0,262613.0,10.09,0.23
589720.SH,20250729,20250725,688166.SH,19023200.0,191400.0,9.94,0.05
589720.SH,20260422,20260331,688781.SH,188150.0,6335.0,0.02,0.02
589720.SH,20260422,20260331,688331.SH,99115200.0,769707.0,7.99,0.47
589720.SH,20260422,20260331,688235.SH,116467000.0,498595.0,9.39,0.43
589720.SH,20260330,20251231,688566.SH,4396070.0,147272.0,0.63,0.07
589720.SH,20260330,20251231,688321.SH,20482300.0,700969.0,2.93,0.17
589720.SH,20260122,20251231,688266.SH,42189800.0,455122.0,6.04,0.17
589720.SH,20260330,20251231,688505.SH,7245680.0,872974.0,1.04,0.12
589720.SH,20250729,20250725,688180.SH,13178400.0,346800.0,6.88,0.05
