condition_type,condition,horizon_days,sample_count,bio_abs_win_rate,bio_abs_mean,bio_abs_median,bio_max_drawdown,bio_vs_health_win_rate,bio_vs_tech_win_rate,bio_vs_ai_win_rate,bio_vs_health_mean,bio_vs_tech_mean,bio_vs_ai_mean,a_bio_mean,s1_future_change_mean,volume_expansion_rate,breadth_improvement_rate,confidence
ai_state,AI_2D_UP,0,10,0.70000000,0.00163115,0.00289334,-0.02676632,0.20000000,0.30000000,0.10000000,-0.00344063,-0.01282446,-0.01689849,0.00836950,-0.00600000,0.00000000,0.30000000,low
ai_state,AI_2D_UP,1,10,0.30000000,-0.00404840,-0.00947988,-0.03953068,0.60000000,0.50000000,0.30000000,0.00164748,-0.00795526,-0.01429212,-0.00334338,0.01866667,0.00000000,0.30000000,low
ai_state,AI_2D_UP,2,10,0.20000000,-0.01705674,-0.02028446,-0.11237318,0.70000000,0.40000000,0.10000000,0.00188095,-0.01246415,-0.02306225,-0.01671898,0.01600000,0.00000000,0.30000000,low
ai_state,AI_2D_UP,3,10,0.30000000,-0.03145011,-0.04581617,-0.22798077,0.60000000,0.10000000,0.10000000,0.00144534,-0.03428210,-0.03883413,-0.02016078,0.04133333,0.00000000,0.30000000,low
ai_state,AI_2D_UP,5,10,0.20000000,-0.03454582,-0.03713368,-0.30103637,0.10000000,0.30000000,0.30000000,-0.00194806,-0.02667908,-0.02505139,-0.01597645,0.07666667,0.00000000,0.30000000,low
ai_state,AI_3D_PLUS_DOWN,0,1,1.00000000,0.01882353,0.01882353,0.00000000,1.00000000,1.00000000,1.00000000,0.01167642,0.03092030,0.02372263,-0.00505561,0.03600000,0.00000000,0.00000000,low
ai_state,AI_3D_PLUS_DOWN,1,1,0.00000000,-0.02655889,-0.02655889,0.00000000,0.00000000,0.00000000,0.00000000,-0.00467835,-0.01635481,-0.02662803,-0.03455285,-0.01800000,0.00000000,0.00000000,low
ai_state,AI_3D_PLUS_DOWN,2,1,0.00000000,-0.03117783,-0.03117783,0.00000000,0.00000000,0.00000000,0.00000000,-0.00338362,-0.02437511,-0.00920086,-0.04674797,-0.06000000,0.00000000,0.00000000,low
ai_state,AI_3D_PLUS_DOWN,3,1,0.00000000,-0.02771363,-0.02771363,0.00000000,0.00000000,0.00000000,0.00000000,-0.00642445,-0.05424424,-0.03389778,-0.04776423,-0.06000000,0.00000000,0.00000000,low
ai_state,AI_3D_PLUS_DOWN,5,1,0.00000000,-0.03926097,-0.03926097,0.00000000,0.00000000,0.00000000,0.00000000,-0.01087540,-0.04470315,-0.02020111,-0.05589431,-0.13800000,0.00000000,0.00000000,low
ai_state,AI_3D_PLUS_UP,0,29,0.48275862,-0.00026729,-0.00107527,-0.08186737,0.55172414,0.20689655,0.20689655,-0.00013922,-0.00992610,-0.01172219,0.00051741,0.03150000,0.00000000,0.31034483,medium
ai_state,AI_3D_PLUS_UP,1,29,0.31034483,-0.00380544,-0.00369004,-0.16425261,0.41379310,0.37931034,0.24137931,-0.00171066,-0.00575846,-0.00765908,-0.00348535,-0.00685714,0.00000000,0.31034483,medium
ai_state,AI_3D_PLUS_UP,2,29,0.31034483,-0.00558849,-0.01001252,-0.22417562,0.31034483,0.31034483,0.34482759,-0.00393843,-0.00891854,-0.00820293,-0.00356961,-0.00857143,0.00000000,0.31034483,medium
ai_state,AI_3D_PLUS_UP,3,29,0.31034483,-0.01251329,-0.01714898,-0.37026210,0.31034483,0.24137931,0.24137931,-0.00601988,-0.02135021,-0.02039496,-0.01017131,0.00285714,0.00000000,0.31034483,medium
ai_state,AI_3D_PLUS_UP,5,29,0.31034483,-0.02101547,-0.02503129,-0.48881552,0.24137931,0.10344828,0.17241379,-0.00773684,-0.05096609,-0.04769777,-0.01797241,0.01200000,0.00000000,0.31034483,medium
ai_state,AI_DOWN_RISK_OFF,0,43,0.02325581,-0.01936634,-0.01905972,-0.55790607,0.41860465,0.48837209,0.46511628,-0.00105260,-0.00100171,0.00124361,-0.01814832,-0.00765000,0.00000000,0.39534884,high
ai_state,AI_DOWN_RISK_OFF,1,43,0.51162791,0.00401038,0.00117925,-0.08789302,0.46511628,0.48837209,0.39534884,0.00053718,-0.00173338,0.00508153,0.00589912,0.00540000,0.00000000,0.39534884,high
ai_state,AI_DOWN_RISK_OFF,2,42,0.54761905,0.00494286,0.00423441,-0.14817438,0.45238095,0.42857143,0.40476190,0.00123577,-0.00221948,0.00154162,0.00752816,0.00492308,0.00000000,0.38095238,high
ai_state,AI_DOWN_RISK_OFF,3,42,0.57142857,0.00887946,0.00570949,-0.17109725,0.59523810,0.54761905,0.54761905,0.00321767,-0.00093365,0.00176636,0.01106514,0.00200000,0.00000000,0.38095238,high
ai_state,AI_DOWN_RISK_OFF,5,42,0.52380952,0.00828333,0.00660802,-0.24033311,0.54761905,0.54761905,0.42857143,0.00308031,-0.00577928,0.00955212,0.01373756,0.00538462,0.00000000,0.38095238,high
ai_state,AI_DOWN_RISK_ON,0,13,1.00000000,0.02398324,0.01412714,0.00000000,0.53846154,1.00000000,1.00000000,0.00212784,0.03723781,0.05487948,0.02260431,-0.00000000,0.00000000,0.38461538,low
ai_state,AI_DOWN_RISK_ON,1,13,0.46153846,0.00132478,-0.00480769,-0.05753804,0.23076923,0.69230769,0.61538462,-0.00175159,0.00875491,0.00552118,-0.00233555,-0.02866667,0.00000000,0.38461538,low
