date,status,hk_observation_status,latest_date_159567,latest_date_159557,common_trade_date,report_trade_date,lag_days_159567,lag_days_159557,calendar_lag_days,trading_lag_days,report_day_price_available_externally,local_fetch_failed,data_fetch_failed,observation_trade_date,return_159567_1d,return_159557_1d,excess_159567_vs_159557_1d,return_159567_5d,return_159557_5d,excess_159567_vs_159557_5d,return_159567_10d,return_159557_10d,excess_159567_vs_159557_10d,common_trade_return_159567_1d,common_trade_return_159557_1d,common_trade_excess_159567_vs_159557_1d,common_trade_return_159567_5d,common_trade_return_159557_5d,common_trade_excess_159567_vs_159557_5d,common_trade_return_159567_10d,common_trade_return_159557_10d,common_trade_excess_159567_vs_159557_10d,excess_5d,excess_5d_direction,hk_underperform_streak_days,hk_outperform_streak_days,hk_relative_trend_state,is_valid_for_judgement,data_source,primary_source,primary_source_status,primary_source_error,fallback_source,fallback_source_status,fallback_source_error,final_data_source,max_business_day_lag,comment
2026-06-01,stale,,20260522,20260601,,,,,,,,,,20260522,,,,,,,,,,,,,,,,,,,,,0,0,不可判定,false,,,,,,,,,,HK_observation 数据滞后，不判断 159567 是否强于 159557。
2026-06-02,stale,,20260522,20260601,,,,,,,,,,20260522,,,,,,,,,,,,,,,,,,,,,0,0,不可判定,false,,,,,,,,,,HK_observation 数据滞后，不判断 159567 是否强于 159557。
2026-06-03,stale,,20260522,20260601,,,,,,,,,,20260522,,,,,,,,,,,,,,,,,,,,,0,0,不可判定,false,,,,,,,,,,HK_observation 数据滞后，不判断 159567 是否强于 159557。
2026-06-04,valid,,20260603,20260604,,,,,,,,,,20260603,-0.029780564263322873,,,-0.07057057057057059,-0.05130168453292494,-0.01926888603764565,,,,,,,,,,,,,-0.01926888603764565,当日相对弱,1,0,相对强弱未形成连续趋势,true,eastmoney,akshare,failed,159567: ProxyError: 代理连接失败；159557: ProxyError: 代理连接失败,eastmoney,failed,159567: RemoteDisconnected: Remote end closed connection without response,cache,,港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。
2026-06-05,valid,,20260605,20260605,,,,,,,,,,20260605,-0.011363636363636354,,,-0.08832335329341323,-0.063552833078101,-0.02477052021531223,,,,,,,,,,,,,-0.02477052021531223,当日相对弱,2,0,相对强弱未形成连续趋势,true,citydata_fund_daily,citydata_fund_daily,success,,eastmoney,not_used,,citydata_fund_daily,0,港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。
2026-06-06,valid,,20260605,20260605,,,,,,,,,,20260605,-0.011363636363636354,,,-0.08832335329341323,-0.063552833078101,-0.02477052021531223,,,,,,,,,,,,,-0.02477052021531223,当日相对弱,3,0,连续弱于港股医疗宽基,true,citydata_fund_daily,citydata_fund_daily,success,,eastmoney,not_used,,citydata_fund_daily,0,港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。
2026-06-08,valid,latest_valid,20260608,20260608,20260608,20260608,0,0,0,0,true,false,false,20260608,-0.034482758620689724,-0.03352412101390034,-0.0009586376067893809,-0.10229007633587794,-0.08725868725868724,-0.015031389077190704,-0.1352941176470589,-0.1106094808126411,-0.024684636834417795,-0.034482758620689724,-0.03352412101390034,-0.0009586376067893809,-0.10229007633587794,-0.08725868725868724,-0.015031389077190704,-0.1352941176470589,-0.1106094808126411,-0.024684636834417795,-0.015031389077190704,当日相对弱,4,0,连续弱于港股医疗宽基,true,citydata_fund_daily+eastmoney,citydata_fund_daily,failed,"159567: ValueError: citydata stale for 159567: latest=20260605, expected=20260608",eastmoney,failed,159567: RemoteDisconnected: Remote end closed connection without response,cache,0,港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。
2026-06-09,valid,latest_valid,20260609,20260609,20260609,20260609,0,0,0,0,false,false,false,20260609,0.0,-0.0076142131979695105,0.0076142131979695105,-0.07836990595611293,-0.0821596244131455,0.003789718457032576,-0.12888888888888894,-0.11936936936936937,-0.00951951951951957,0.0,-0.0076142131979695105,0.0076142131979695105,-0.07836990595611293,-0.0821596244131455,0.003789718457032576,-0.12888888888888894,-0.11936936936936937,-0.00951951951951957,0.003789718457032576,当日相对强,0,1,相对强弱未形成连续趋势,true,citydata_fund_daily+tencent_fqkline,citydata_fund_daily,failed,"159567: ValueError: citydata stale for 159567: latest=20260605, expected=20260609",tencent_fqkline,success,,tencent_fqkline,0,港股创新药 ETF 最近 5 个交易日强于港股医疗宽基。
2026-06-10,valid,latest_valid,20260610,20260610,20260610,20260610,0,0,0,0,false,false,false,20260610,0.011904761904761862,0.01364023870417741,-0.0017354767994155473,-0.03877221324717295,-0.04035512510088779,0.0015829118537148412,-0.1066066066066067,-0.08958652373660025,-0.017020082870006448,0.011904761904761862,0.01364023870417741,-0.0017354767994155473,-0.03877221324717295,-0.04035512510088779,0.0015829118537148412,-0.1066066066066067,-0.08958652373660025,-0.017020082870006448,0.0015829118537148412,当日相对强,0,2,相对强弱未形成连续趋势,true,citydata_fund_daily,citydata_fund_daily,success,,tencent_fqkline,not_used,,citydata_fund_daily,0,港股创新药 ETF 最近 5 个交易日强于港股医疗宽基。
2026-06-11,valid,latest_valid,20260611,20260611,20260611,20260611,0,0,0,0,false,false,false,20260611,-0.015126050420168125,-0.012615643397813403,-0.0025104070223547215,-0.04870129870129869,-0.04475183075671285,-0.003949467944585838,-0.08580343213728558,-0.07120253164556967,-0.014600900491715918,-0.015126050420168125,-0.012615643397813403,-0.0025104070223547215,-0.04870129870129869,-0.04475183075671285,-0.003949467944585838,-0.08580343213728558,-0.07120253164556967,-0.014600900491715918,-0.003949467944585838,当日相对弱,1,0,相对强弱未形成连续趋势,true,tencent_fqkline,citydata_fund_daily,failed,"159567: ValueError: citydata stale for 159567: latest=20260610, expected=20260612；159557: ValueError: citydata stale for 159557: latest=20260610, expected=20260612",tencent_fqkline,success,,tencent_fqkline,0,港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。
2026-06-12,valid,latest_valid,20260612,20260612,20260612,20260612,0,0,0,0,false,false,false,20260612,0.03754266211604107,0.028109028960817906,0.009433633155223164,-0.0016420361247947435,-0.013082583810302584,0.01144054768550784,-0.08982035928143717,-0.07580398162327717,-0.014016377658159995,0.03754266211604107,0.028109028960817906,0.009433633155223164,-0.0016420361247947435,-0.013082583810302584,0.01144054768550784,-0.08982035928143717,-0.07580398162327717,-0.014016377658159995,0.01144054768550784,当日相对强,0,1,相对强弱未形成连续趋势,true,citydata_fund_daily,citydata_fund_daily,success,,tencent_fqkline,not_used,,citydata_fund_daily,0,港股创新药 ETF 最近 5 个交易日强于港股医疗宽基。
2026-06-15,valid,latest_valid,20260615,20260615,20260615,20260615,0,0,0,0,false,false,false,20260615,0.00328947368421062,0.0008285004142500885,0.0024609732699605313,0.03741496598639449,0.021996615905245376,0.015418350081149113,-0.06870229007633588,-0.06718146718146711,-0.0015208228948687674,0.00328947368421062,0.0008285004142500885,0.0024609732699605313,0.03741496598639449,0.021996615905245376,0.015418350081149113,-0.06870229007633588,-0.06718146718146711,-0.0015208228948687674,0.015418350081149113,当日相对强,0,2,相对强弱未形成连续趋势,true,tencent_fqkline,citydata_fund_daily,failed,"159567: ValueError: citydata stale for 159567: latest=20260612, expected=20260615；159557: ValueError: citydata stale for 159557: latest=20260612, expected=20260615",tencent_fqkline,success,,tencent_fqkline,0,港股创新药 ETF 最近 5 个交易日强于港股医疗宽基。
2026-06-16,valid,latest_valid,20260616,20260616,20260616,20260616,0,0,0,0,false,false,false,20260616,-0.032786885245901676,-0.026490066225165587,-0.006296819020736089,0.00340136054421758,0.002557544757033181,0.0008438157871843988,-0.0752351097178684,-0.07981220657277,0.004577096854901597,-0.032786885245901676,-0.026490066225165587,-0.006296819020736089,0.00340136054421758,0.002557544757033181,0.0008438157871843988,-0.0752351097178684,-0.07981220657277,0.004577096854901597,0.0008438157871843988,当日相对强,0,3,连续强于港股医疗宽基,true,citydata_fund_daily+tencent_fqkline,citydata_fund_daily,failed,"159567: ValueError: citydata stale for 159567: latest=20260615, expected=20260616",tencent_fqkline,success,,tencent_fqkline,0,港股创新药 ETF 最近 5 个交易日强于港股医疗宽基。
2026-06-17,valid,latest_valid,20260617,20260617,20260617,20260617,0,0,0,0,false,false,false,20260617,-0.013468013468013518,-0.011904761904761862,-0.0015632515632516553,-0.015126050420168125,-0.02270815811606408,0.007582107695895957,-0.05331179321486268,-0.062146892655367325,0.008835099440504646,-0.013468013468013518,-0.011904761904761862,-0.0015632515632516553,-0.015126050420168125,-0.02270815811606408,0.007582107695895957,-0.05331179321486268,-0.062146892655367325,0.008835099440504646,0.007582107695895957,当日相对强,0,4,连续强于港股医疗宽基,true,citydata_fund_daily,citydata_fund_daily,success,,tencent_fqkline,not_used,,citydata_fund_daily,0,港股创新药 ETF 最近 5 个交易日强于港股医疗宽基。
2026-06-18,valid,latest_valid,20260618,20260618,20260618,20260618,0,0,0,0,false,false,false,20260618,0.011945392491467643,0.010327022375215211,0.0016183701162524322,0.011945392491467643,0.0,0.011945392491467643,-0.037337662337662336,-0.04475183075671285,0.007414168419050515,0.011945392491467643,0.010327022375215211,0.0016183701162524322,0.011945392491467643,0.0,0.011945392491467643,-0.037337662337662336,-0.04475183075671285,0.007414168419050515,0.011945392491467643,当日相对强,0,5,连续强于港股医疗宽基,true,citydata_fund_daily,citydata_fund_daily,success,,tencent_fqkline,not_used,,citydata_fund_daily,0,港股创新药 ETF 最近 5 个交易日强于港股医疗宽基。
2026-06-22,valid,latest_valid,20260622,20260622,20260622,20260622,0,0,0,0,false,false,false,20260622,-0.006745362563237767,0.0008517887563885829,-0.00759715131962635,-0.03125,-0.026512013256006606,-0.004737986743993394,-0.03284072249589498,-0.03924775143090764,0.00640702893501266,-0.006745362563237767,0.0008517887563885829,-0.00759715131962635,-0.03125,-0.026512013256006606,-0.004737986743993394,-0.03284072249589498,-0.03924775143090764,0.00640702893501266,-0.004737986743993394,当日相对弱,1,0,相对强弱未形成连续趋势,true,citydata_fund_daily+tencent_fqkline,citydata_fund_daily,failed,"159567: ValueError: citydata stale for 159567: latest=20260618, expected=20260622",tencent_fqkline,success,,tencent_fqkline,0,港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。
