condition_type,condition,horizon_days,sample_count,bio_abs_win_rate,bio_abs_mean,bio_abs_median,bio_max_drawdown,bio_vs_health_win_rate,bio_vs_tech_win_rate,bio_vs_ai_win_rate,bio_vs_health_mean,bio_vs_tech_mean,bio_vs_ai_mean,a_bio_mean,s1_future_change_mean,volume_expansion_rate,breadth_improvement_rate,confidence
a_share_lead_signal,S1_total_upcross_0.60,0,14,0.42857143,0.00302420,0.00000000,-0.07217034,0.57142857,0.42857143,0.21428571,0.00357250,-0.00384161,0.01032341,0.00501242,0.10157143,0.00000000,0.42857143,low
a_share_lead_signal,S1_total_upcross_0.60,1,14,0.35714286,-0.00522785,-0.01097282,-0.08157609,0.50000000,0.28571429,0.28571429,0.00013104,-0.01008943,-0.01135507,-0.00617842,-0.01200000,0.00000000,0.42857143,low
a_share_lead_signal,S1_total_upcross_0.60,2,13,0.46153846,-0.00831076,-0.01889535,-0.12956724,0.46153846,0.30769231,0.46153846,-0.00032492,-0.00798429,-0.00991504,-0.01068990,-0.02538462,0.00000000,0.38461538,low
a_share_lead_signal,S1_total_upcross_0.60,3,13,0.38461538,-0.00361352,-0.01866978,-0.11456237,0.53846154,0.38461538,0.46153846,0.00222230,-0.01453095,-0.01744745,-0.00400706,-0.01569231,0.00000000,0.38461538,low
a_share_lead_signal,S1_total_upcross_0.60,5,13,0.46153846,0.00290140,-0.02906977,-0.10521923,0.53846154,0.38461538,0.30769231,0.00322817,-0.01700655,-0.02447665,0.00471683,-0.04569231,0.00000000,0.38461538,low
a_share_lead_signal,S1_total_2d_above_0.60,0,109,0.36697248,-0.00315867,-0.00618812,-0.31791639,0.47706422,0.44036697,0.35779817,0.00012211,-0.00469052,-0.00596754,-0.00206491,-0.00143119,0.00000000,0.36697248,high
a_share_lead_signal,S1_total_2d_above_0.60,1,108,0.38888889,-0.00201163,-0.00483694,-0.22716981,0.44444444,0.43518519,0.37037037,-0.00048965,-0.00275034,-0.00449087,-0.00166736,-0.01222222,0.00000000,0.36111111,high
a_share_lead_signal,S1_total_2d_above_0.60,2,108,0.37037037,-0.00387783,-0.00711021,-0.40073215,0.48148148,0.40740741,0.31481481,-0.00020778,-0.00619186,-0.01026985,-0.00279759,-0.01950000,0.00000000,0.36111111,high
a_share_lead_signal,S1_total_2d_above_0.60,3,108,0.34259259,-0.00655914,-0.00934050,-0.57356241,0.47222222,0.37962963,0.29629630,-0.00030706,-0.01130406,-0.01766825,-0.00477793,-0.02650000,0.00000000,0.36111111,high
a_share_lead_signal,S1_total_2d_above_0.60,5,108,0.32407407,-0.01387944,-0.01863041,-0.80462330,0.41666667,0.37962963,0.28703704,-0.00080784,-0.02446646,-0.03540211,-0.00986704,-0.03533333,0.00000000,0.36111111,high
a_share_lead_signal,S1_total_3d_above_0.60,0,97,0.38144330,-0.00274773,-0.00486618,-0.26842955,0.46391753,0.45360825,0.37113402,0.00002086,-0.00397449,-0.00518433,-0.00207226,-0.00191753,0.00000000,0.37113402,high
a_share_lead_signal,S1_total_3d_above_0.60,1,97,0.39175258,-0.00235061,-0.00486618,-0.26039752,0.48453608,0.41237113,0.36082474,-0.00033903,-0.00353949,-0.00574843,-0.00168921,-0.01292784,0.00000000,0.37113402,high
a_share_lead_signal,S1_total_3d_above_0.60,2,97,0.37113402,-0.00497835,-0.00720288,-0.45386688,0.47422680,0.41237113,0.30927835,-0.00044603,-0.00731228,-0.01162077,-0.00342577,-0.02090722,0.00000000,0.37113402,high
a_share_lead_signal,S1_total_3d_above_0.60,3,97,0.34020619,-0.00818460,-0.00963855,-0.60737323,0.45360825,0.37113402,0.27835052,-0.00053603,-0.01250843,-0.01926506,-0.00611926,-0.02783505,0.00000000,0.37113402,high
a_share_lead_signal,S1_total_3d_above_0.60,5,97,0.29896907,-0.01749447,-0.02045210,-0.83386369,0.40206186,0.36082474,0.26804124,-0.00068126,-0.02806908,-0.03903774,-0.01290358,-0.03439175,0.00000000,0.37113402,high
a_share_lead_signal,S1-03_negative_to_positive,0,8,0.50000000,-0.00291986,0.00597270,-0.08164936,0.75000000,0.37500000,0.25000000,0.00662322,-0.01505603,-0.01919153,0.00811253,0.05925000,0.00000000,0.50000000,low
a_share_lead_signal,S1-03_negative_to_positive,1,8,0.37500000,-0.00613162,-0.00297614,-0.04701199,0.37500000,0.12500000,0.12500000,-0.00231415,-0.01599490,-0.02025788,-0.00821685,-0.01275000,0.00000000,0.50000000,low
a_share_lead_signal,S1-03_negative_to_positive,2,7,0.28571429,-0.01741202,-0.01987578,-0.12390173,0.42857143,0.00000000,0.00000000,-0.00154257,-0.03784164,-0.04073432,-0.01467912,-0.02400000,0.00000000,0.42857143,low
a_share_lead_signal,S1-03_negative_to_positive,3,7,0.00000000,-0.03089271,-0.02360248,-0.18145749,0.57142857,0.00000000,0.00000000,-0.00391500,-0.05680677,-0.05750121,-0.02362534,-0.01371429,0.00000000,0.42857143,low
a_share_lead_signal,S1-03_negative_to_positive,5,7,0.14285714,-0.03173340,-0.04050926,-0.16856703,0.42857143,0.00000000,0.00000000,-0.00480266,-0.08421678,-0.08170464,-0.01402595,0.00600000,0.00000000,0.42857143,low
a_share_lead_signal,S1-04_upcross_0.90x,0,11,0.54545455,0.00528006,0.00133333,-0.04678022,0.45454545,0.45454545,0.27272727,0.00113392,-0.00577052,-0.00881016,0.00380953,-0.00109091,0.00000000,0.45454545,low
a_share_lead_signal,S1-04_upcross_0.90x,1,11,0.18181818,-0.00959762,-0.01065246,-0.10698943,0.27272727,0.36363636,0.45454545,-0.00385545,-0.00190450,-0.00863643,-0.00797444,-0.00163636,0.00000000,0.45454545,low
a_share_lead_signal,S1-04_upcross_0.90x,2,10,0.30000000,-0.01358074,-0.02204346,-0.15444464,0.40000000,0.20000000,0.40000000,-0.00313257,-0.00976046,-0.01172459,-0.01039814,0.00120000,0.00000000,0.40000000,low
a_share_lead_signal,S1-04_upcross_0.90x,3,10,0.40000000,-0.02535101,-0.03175375,-0.24478560,0.20000000,0.20000000,0.30000000,-0.00475349,-0.02255821,-0.03467139,-0.01946658,-0.00600000,0.00000000,0.40000000,low
a_share_lead_signal,S1-04_upcross_0.90x,5,10,0.30000000,-0.02191474,-0.03377062,-0.24799498,0.60000000,0.40000000,0.40000000,0.00147610,-0.00081542,-0.02316243,-0.01873359,-0.04440000,0.00000000,0.40000000,low
a_share_lead_signal,S1-04_upcross_1.00x,0,11,0.45454545,0.00898342,-0.00674536,-0.04986850,0.45454545,0.54545455,0.54545455,-0.00135676,0.00551025,0.00238487,0.01031642,0.01254545,0.00000000,0.45454545,low
a_share_lead_signal,S1-04_upcross_1.00x,1,10,0.30000000,-0.00896641,-0.01406909,-0.08605252,0.70000000,0.40000000,0.20000000,0.00367129,-0.00768262,-0.01266334,-0.00674455,0.01200000,0.00000000,0.40000000,low
a_share_lead_signal,S1-04_upcross_1.00x,2,10,0.30000000,-0.01267036,-0.02135903,-0.15179736,0.80000000,0.50000000,0.30000000,0.00483578,-0.00278712,-0.01882685,-0.00785832,0.02580000,0.00000000,0.40000000,low
a_share_lead_signal,S1-04_upcross_1.00x,3,10,0.30000000,-0.00846678,-0.01165577,-0.15158288,0.60000000,0.60000000,0.40000000,0.00402172,0.00889418,-0.00607961,-0.00830985,-0.00480000,0.00000000,0.40000000,low
a_share_lead_signal,S1-04_upcross_1.00x,5,10,0.30000000,-0.01745488,-0.02625144,-0.21435392,0.70000000,0.50000000,0.30000000,0.00137737,-0.00499504,-0.01549780,-0.01717400,-0.00420000,0.00000000,0.40000000,low
a_share_lead_signal,S1-05_upcross_30pct,0,17,0.70588235,0.02093236,0.02166847,-0.02108807,0.64705882,0.64705882,0.70588235,0.00312429,0.00421818,0.00818882,0.02341688,0.01729412,0.00000000,0.41176471,low
a_share_lead_signal,S1-05_upcross_30pct,1,17,0.41176471,-0.00317278,-0.00674536,-0.10176812,0.29411765,0.35294118,0.17647059,-0.00198737,-0.01079433,-0.01264822,-0.00340556,-0.00529412,0.00000000,0.41176471,low
a_share_lead_signal,S1-05_upcross_30pct,2,16,0.25000000,-0.00967602,-0.01264206,-0.13607528,0.56250000,0.37500000,0.18750000,0.00049898,-0.00343311,-0.01551993,-0.00888540,-0.01575000,0.00000000,0.37500000,low
a_share_lead_signal,S1-05_upcross_30pct,3,16,0.31250000,-0.01356103,-0.01105174,-0.19715108,0.56250000,0.37500000,0.31250000,0.00159624,-0.01748440,-0.00419493,-0.01488600,-0.01312500,0.00000000,0.37500000,low
a_share_lead_signal,S1-05_upcross_30pct,5,16,0.18750000,-0.01864060,-0.02640556,-0.26771391,0.37500000,0.37500000,0.31250000,-0.00172498,-0.02615436,-0.01948028,-0.01731222,-0.01425000,0.00000000,0.37500000,low
a_share_lead_signal,S1-05_upcross_40pct,0,16,0.62500000,0.01577576,0.00471419,-0.02156088,0.68750000,0.43750000,0.43750000,0.00220004,-0.00748203,-0.00284587,0.01987161,0.01762500,0.00000000,0.25000000,low
a_share_lead_signal,S1-05_upcross_40pct,1,16,0.31250000,-0.00554523,-0.00891207,-0.07995472,0.43750000,0.43750000,0.18750000,-0.00103189,-0.00746132,-0.01737815,-0.00588990,-0.00750000,0.00000000,0.25000000,low
a_share_lead_signal,S1-05_upcross_40pct,2,15,0.20000000,-0.01315541,-0.01308901,-0.17759978,0.40000000,0.33333333,0.20000000,-0.00027764,-0.00807156,-0.02367187,-0.01641721,-0.01160000,0.00000000,0.20000000,low
a_share_lead_signal,S1-05_upcross_40pct,3,15,0.26666667,-0.01681914,-0.02786885,-0.24258893,0.60000000,0.26666667,0.26666667,0.00043162,-0.02497881,-0.01177783,-0.01727361,-0.00040000,0.00000000,0.20000000,low
a_share_lead_signal,S1-05_upcross_40pct,5,14,0.14285714,-0.01797923,-0.01953920,-0.21465914,0.42857143,0.35714286,0.28571429,-0.00227096,-0.01484055,-0.01795956,-0.01890973,-0.00942857,0.00000000,0.21428571,low
a_share_lead_signal,S1-03_04_05_all_improve,0,18,0.66666667,0.02063623,0.01785795,-0.03698440,0.72222222,0.55555556,0.50000000,0.00568928,0.00402702,0.01606508,0.02994195,0.04733333,0.00000000,0.55555556,low
a_share_lead_signal,S1-03_04_05_all_improve,1,17,0.52941176,-0.00159486,0.00127714,-0.05492489,0.47058824,0.35294118,0.29411765,0.00034456,-0.00468681,-0.01078671,-0.00511194,-0.00176471,0.00000000,0.52941176,low
a_share_lead_signal,S1-03_04_05_all_improve,2,16,0.25000000,-0.00580835,-0.00828431,-0.12087635,0.56250000,0.50000000,0.12500000,0.00000015,-0.00882000,-0.01810561,-0.00608582,-0.01200000,0.00000000,0.50000000,low
a_share_lead_signal,S1-03_04_05_all_improve,3,16,0.37500000,-0.00647683,-0.01052151,-0.12855754,0.50000000,0.31250000,0.18750000,-0.00449211,-0.01680202,-0.02428785,-0.00960324,-0.03675000,0.00000000,0.50000000,low
a_share_lead_signal,S1-03_04_05_all_improve,5,16,0.25000000,-0.01895660,-0.02705154,-0.25037070,0.31250000,0.18750000,0.18750000,-0.00401994,-0.03325139,-0.04517937,-0.01651738,-0.00562500,0.00000000,0.50000000,low
a_share_lead_signal,589720_positive_signal,0,58,0.87931034,0.02185276,0.01925736,-0.02062924,0.62068966,0.70689655,0.65517241,0.00359820,0.00810918,0.01307711,0.02497325,0.00800000,0.00000000,0.39655172,high
a_share_lead_signal,589720_positive_signal,1,58,0.48275862,-0.00201839,-0.00053763,-0.13107325,0.44827586,0.48275862,0.41379310,-0.00025775,0.00018318,-0.00460944,-0.00257203,-0.00373333,0.00000000,0.39655172,high
a_share_lead_signal,589720_positive_signal,2,57,0.36842105,-0.00554998,-0.00617284,-0.28210041,0.49122807,0.45614035,0.36842105,-0.00138677,-0.00350013,-0.01029679,-0.00616443,-0.01322727,0.00000000,0.38596491,high
