window,metric,valid_samples,mean,median,win_rate,std,best,worst,max_drawdown,max_consecutive_failures,ci_low,ci_high,effect_size,significance,trading_meaning
20,159567绝对收益,20,-0.00579589,-0.01162409,0.30000000,0.02261291,0.04212168,-0.03753754,-0.12874251,7,-0.01570643,0.00411466,-0.25630872,not_significant,实际交易意义不足
20,159567相对159557超额,20,-0.00073645,-0.00126094,0.45000000,0.00613501,0.00943363,-0.01282679,-0.02714132,3,-0.00342523,0.00195234,-0.12004005,not_significant,实际交易意义不足
20,159567相对TECH_GROWTH_CORE超额,20,-0.00945652,-0.01589511,0.40000000,0.03876279,0.09258512,-0.05875103,-0.24574947,5,-0.02644506,0.00753203,-0.24395856,not_significant,实际交易意义不足
20,159567相对AI_CORE超额,20,-0.01122111,-0.01451802,0.35000000,0.03470419,0.06407697,-0.06704382,-0.24159311,6,-0.02643089,0.00398868,-0.32333577,not_significant,实际交易意义不足
20,589720绝对收益,20,-0.00238728,-0.00581508,0.35000000,0.02270767,0.04010695,-0.04057592,-0.14067995,6,-0.01233935,0.00756480,-0.10513079,not_significant,实际交易意义不足
20,589720相对医疗宽基超额,20,0.00045209,-0.00205304,0.40000000,0.01531648,0.02905385,-0.02132520,-0.06919888,6,-0.00626065,0.00716484,0.02951674,not_significant,实际交易意义不足
20,S1后续变化,20,0.00240000,0.00000000,0.35000000,0.07595456,0.17400000,-0.17400000,-0.27480504,5,-0.03088855,0.03568855,0.03159784,not_significant,实际交易意义不足
20,创新药量能变化,0,,,,,,,,,,,,not_significant,missing
20,创新药广度变化,20,0.29666667,0.26666667,1.00000000,0.16958843,0.73333333,0.06666667,0.00000000,0,0.22234126,0.37099207,1.74933323,significant,可能具有实际交易意义
60,159567绝对收益,60,-0.00279419,-0.00569823,0.31666667,0.02158450,0.07304117,-0.04981320,-0.29197080,7,-0.00825582,0.00266744,-0.12945353,not_significant,实际交易意义不足
